epoch,temperature

1551398400,21.50
1551402000,21.40
1551405600,21.30
1551409200,21.34
1551412800,21.20
1551416400,21.21
1551420000,22.40
1551423600,22.25
1551427200,22.15
1551430800,21.92
1551434400,21.84
1551438000,22.09
1551441600,23.05
1551445200,22.63
1551448800,22.43
1551452400,22.12
1551456000,22.08

1551459600,22.00
1551463200,22.01
1551466800,22.02
1551470400,22.02
1551474000,22.03
1551477600,21.99
1551481200,21.73
1551484800,21.56
1551488400,21.36
1551492000,21.22
1551495600,21.04
1551499200,20.86
1551502800,20.91
1551506400,21.66
1551510000,21.89
1551513600,22.07
1551517200,21.99
1551520800,21.88
1551524400,21.95
1551528000,22.74
1551531600,22.75
1551535200,23.42
1551538800,23.64
1551542400,23.29
1551546000,22.69
1553821200,22.97
1553832000,22.27
1553835600,22.35
1553839200,24.07
1553842800,24.67
1553846400,24.56
1553850000,24.24
1553853600,24.13
1553857200,24.13
1553860800,25.21
1553864400,24.92
1553868000,25.48
1553871600,25.95
1553875200,25.88
1553878800,25.33
1553882400,25.38
1553886000,25.54
1553889600,25.65
1553893200,25.53
1553896800,25.24
1553900400,25.07
1553904000,24.75
1553907600,24.30
1553911200,24.01
1553914800,23.73
1553918400,23.46
1553922000,23.52
1553925600,24.93
1553929200,25.16
1553932800,25.37
1553936400,25.01
1553940000,24.65
1553943600,24.59
1553947200,25.62
1553950800,25.32
1553954400,25.47
1553958000,25.92
1553961600,26.21
1553965200,25.71
1553968800,25.75
1553972400,25.66
1553976000,25.40
1553979600,25.34
1553983200,25.26
1553986800,25.11
1553990400,24.93
1553994000,24.72
1553997600,24.41
1554001200,24.14
1554004800,24.17
1554008400,25.57
1554012000,25.64
1554015600,25.71
1554019200,25.39
1554022800,25.20
1554026400,25.29
1554030000,25.99
1554033600,25.82
1554037200,25.74
1554040800,26.16
1554044400,26.70
1554048000,27.04
1554051600,26.63
1554055200,25.78
1554058800,26.10
1554062400,25.96
1554066000,25.41
1554069600,25.13
1554073200,25.02